epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,2186.53,1.00701,0.59181,1.01179,0.85218,0.85637,0.92287,0.62292,1.13944,0.64221,1.07594,0.00038375,0.00038375,0.00038375
72,2217.04,1.00119,0.60096,1.0175,0.84018,0.88532,0.92525,0.62977,1.13296,0.63757,1.0666,0.000371375,0.000371375,0.000371375
73,2246.93,1.02144,0.60655,1.01345,0.85216,0.88031,0.92381,0.62547,1.14352,0.63674,1.07062,0.000359,0.000359,0.000359
74,2276.97,0.99966,0.57714,1.0123,0.8502,0.8514,0.91833,0.63033,1.12354,0.6312,1.06453,0.000346625,0.000346625,0.000346625
75,2308.9,0.99515,0.57626,1.01426,0.874,0.83297,0.92021,0.62578,1.13802,0.64442,1.06785,0.00033425,0.00033425,0.00033425
76,2339.19,1.01239,0.58979,1.01528,0.86173,0.83646,0.91822,0.62458,1.13908,0.63793,1.06913,0.000321875,0.000321875,0.000321875
77,2369.02,1.00087,0.57965,1.01282,0.86402,0.85034,0.92568,0.63021,1.13031,0.63848,1.07047,0.0003095,0.0003095,0.0003095
78,2399.66,0.98826,0.56749,1.0079,0.84689,0.87805,0.92696,0.63027,1.12789,0.62765,1.06346,0.000297125,0.000297125,0.000297125
79,2430.28,0.98128,0.57404,1.00738,0.85811,0.8582,0.9189,0.63318,1.12171,0.61855,1.06761,0.00028475,0.00028475,0.00028475
80,2461.01,0.99218,0.57485,1.01026,0.8573,0.86353,0.92482,0.62502,1.12556,0.63115,1.06556,0.000272375,0.000272375,0.000272375
81,2493.12,0.98172,0.57389,1.00513,0.84266,0.85541,0.91307,0.62465,1.12824,0.64314,1.06808,0.00026,0.00026,0.00026
82,2523.61,0.98321,0.5606,1.00264,0.86441,0.85328,0.91969,0.62893,1.13543,0.62012,1.06768,0.000247625,0.000247625,0.000247625
83,2554.36,0.96389,0.56114,1.00425,0.82175,0.87295,0.92348,0.62831,1.14257,0.63141,1.07541,0.00023525,0.00023525,0.00023525
84,2585.55,0.97439,0.5614,0.99911,0.83093,0.87833,0.92923,0.635,1.12331,0.62872,1.06625,0.000222875,0.000222875,0.000222875
85,2615.97,0.98498,0.56048,1.00038,0.84156,0.86386,0.92721,0.63359,1.11494,0.61512,1.05626,0.0002105,0.0002105,0.0002105
86,2646.5,0.96334,0.55938,0.99986,0.85168,0.86799,0.92087,0.63051,1.11736,0.62542,1.06028,0.000198125,0.000198125,0.000198125
87,2676.82,0.9465,0.54359,0.99338,0.8886,0.85649,0.92849,0.63886,1.12582,0.61854,1.06541,0.00018575,0.00018575,0.00018575
88,2708.58,0.96168,0.54966,0.99687,0.85055,0.86899,0.92307,0.63315,1.12983,0.62162,1.07301,0.000173375,0.000173375,0.000173375
89,2739.2,0.96973,0.5533,1.00184,0.87039,0.8624,0.92731,0.63396,1.13178,0.62458,1.06651,0.000161,0.000161,0.000161
90,2770.49,0.96789,0.53941,0.99599,0.87542,0.8412,0.91974,0.62822,1.1259,0.62688,1.06696,0.000148625,0.000148625,0.000148625
91,2801.62,0.93695,0.5026,0.98323,0.87653,0.85046,0.92368,0.63139,1.12215,0.62398,1.06478,0.00013625,0.00013625,0.00013625
92,2830.63,0.93787,0.49314,0.98858,0.84471,0.88566,0.92898,0.63169,1.13274,0.61634,1.07177,0.000123875,0.000123875,0.000123875
93,2860.06,0.93236,0.48896,0.98184,0.85562,0.88161,0.92924,0.63369,1.1269,0.61292,1.06645,0.0001115,0.0001115,0.0001115
94,2889.72,0.9201,0.48269,0.98215,0.88312,0.86045,0.93252,0.63769,1.1299,0.60511,1.06907,9.9125e-05,9.9125e-05,9.9125e-05
95,2918.86,0.92195,0.48646,0.97752,0.86585,0.86874,0.92857,0.63387,1.12889,0.61434,1.07082,8.675e-05,8.675e-05,8.675e-05
96,2948.05,0.91272,0.47484,0.97626,0.8844,0.8522,0.93259,0.63788,1.12491,0.61313,1.06358,7.4375e-05,7.4375e-05,7.4375e-05
97,2977.04,0.91884,0.47948,0.98437,0.87299,0.87265,0.93214,0.63843,1.12272,0.61465,1.06165,6.2e-05,6.2e-05,6.2e-05
98,3006.18,0.90742,0.47827,0.9764,0.87073,0.8688,0.9304,0.6402,1.12589,0.60933,1.0643,4.9625e-05,4.9625e-05,4.9625e-05
99,3035.82,0.91242,0.47472,0.97705,0.86654,0.86044,0.93079,0.63786,1.12584,0.61036,1.06706,3.725e-05,3.725e-05,3.725e-05
100,3065.66,0.91236,0.47325,0.97811,0.8753,0.84884,0.93127,0.6381,1.12318,0.6065,1.06582,2.4875e-05,2.4875e-05,2.4875e-05
